Time,Latitude,Longitude,Altitude,Easting,Northing,Zone,Letter
64381,42.338053333333335,8.760921666666666,11.5,480305.23874637234,4687338.683331223,32,T
64382,42.33806,8.760908333333333,11.4,480304.1424547528,4687339.426654862,32,T
64382,42.33806,8.760908333333333,11.4,480304.1424547528,4687339.426654862,32,T
64382,42.33806,8.760908333333333,11.4,480304.1424547528,4687339.426654862,32,T
64383,42.33806666666667,8.76089,11.1,480302.63427392876,4687340.171136369,32,T
64383,42.33806666666667,8.76089,11.1,480302.63427392876,4687340.171136369,32,T
64383,42.33806666666667,8.76089,11.1,480302.63427392876,4687340.171136369,32,T
64383,42.33806666666667,8.76089,11.1,480302.63427392876,4687340.171136369,32,T
64383,42.33806666666667,8.76089,11.1,480302.63427392876,4687340.171136369,32,T
64383,42.33806666666667,8.76089,11.1,480302.63427392876,4687340.171136369,32,T
64384,42.338075,8.760873333333333,11.0,480301.263910075,4687341.10029146,32,T
64384,42.338075,8.760873333333333,11.0,480301.263910075,4687341.10029146,32,T
64384,42.338075,8.760873333333333,11.0,480301.263910075,4687341.10029146,32,T
64385,42.33808,8.760856666666667,11.1,480299.89250613935,4687341.659328447,32,T
64385,42.33808,8.760856666666667,11.1,480299.89250613935,4687341.659328447,32,T
64385,42.33808,8.760856666666667,11.1,480299.89250613935,4687341.659328447,32,T
64386,42.338085,8.76084,11.1,480298.5211024213,4687342.218365701,32,T
64386,42.338085,8.76084,11.1,480298.5211024213,4687342.218365701,32,T
64386,42.338085,8.76084,11.1,480298.5211024213,4687342.218365701,32,T
64387,42.338091666666664,8.760823333333333,11.1,480297.15021921566,4687342.962462414,32,T
64387,42.338091666666664,8.760823333333333,11.1,480297.15021921566,4687342.962462414,32,T
64387,42.338091666666664,8.760823333333333,11.1,480297.15021921566,4687342.962462414,32,T
64388,42.338096666666665,8.760808333333333,11.0,480295.91611238127,4687343.521114175,32,T
64388,42.338096666666665,8.760808333333333,11.0,480295.91611238127,4687343.521114175,32,T
64388,42.338096666666665,8.760808333333333,11.0,480295.91611238127,4687343.521114175,32,T
64388,42.338096666666665,8.760808333333333,11.0,480295.91611238127,4687343.521114175,32,T
64388,42.338096666666665,8.760808333333333,11.0,480295.91611238127,4687343.521114175,32,T
64388,42.338096666666665,8.760808333333333,11.0,480295.91611238127,4687343.521114175,32,T
64389,42.338103333333336,8.76079,11.0,480294.40793330735,4687344.265597463,32,T
64389,42.338103333333336,8.76079,11.0,480294.40793330735,4687344.265597463,32,T
64389,42.338103333333336,8.76079,11.0,480294.40793330735,4687344.265597463,32,T
64390,42.33811166666667,8.760771666666667,10.8,480292.90027495794,4687345.195140267,32,T
64390,42.33811166666667,8.760771666666667,10.8,480292.90027495794,4687345.195140267,32,T
64390,42.33811166666667,8.760771666666667,10.8,480292.90027495794,4687345.195140267,32,T
64391,42.33812,8.760753333333334,10.5,480291.3926170097,4687346.124683397,32,T
64391,42.33812,8.760753333333334,10.5,480291.3926170097,4687346.124683397,32,T
64391,42.33812,8.760753333333334,10.5,480291.3926170097,4687346.124683397,32,T
64392,42.33813333333333,8.760736666666666,10.7,480290.0238172556,4687347.60901827,32,T
64392,42.33813333333333,8.760736666666666,10.7,480290.0238172556,4687347.60901827,32,T
64392,42.33813333333333,8.760736666666666,10.7,480290.0238172556,4687347.60901827,32,T
64393,42.33814,8.760721666666667,10.7,480288.79023231973,4687348.352730483,32,T
64393,42.33814,8.760721666666667,10.7,480288.79023231973,4687348.352730483,32,T
64393,42.33814,8.760721666666667,10.7,480288.79023231973,4687348.352730483,32,T
64393,42.33814,8.760721666666667,10.7,480288.79023231973,4687348.352730483,32,T
64393,42.33814,8.760721666666667,10.7,480288.79023231973,4687348.352730483,32,T
64393,42.33814,8.760721666666667,10.7,480288.79023231973,4687348.352730483,32,T
64394,42.33815,8.760705,10.6,480287.4203924472,4687349.466947494,32,T
64394,42.33815,8.760705,10.6,480287.4203924472,4687349.466947494,32,T
64394,42.33815,8.760705,10.6,480287.4203924472,4687349.466947494,32,T
64395,42.33816,8.760688333333334,10.6,480286.0505530102,4687350.581164776,32,T
64395,42.33816,8.760688333333334,10.6,480286.0505530102,4687350.581164776,32,T
64395,42.33816,8.760688333333334,10.6,480286.0505530102,4687350.581164776,32,T
64396,42.33817,8.760671666666667,10.7,480284.6807140087,4687351.695382329,32,T
64396,42.33817,8.760671666666667,10.7,480284.6807140087,4687351.695382329,32,T
64396,42.33817,8.760671666666667,10.7,480284.6807140087,4687351.695382329,32,T
