Time,Latitude,Longitude,Altitude,Easting,Northing,Zone,Letter
5778,42.33396333333334,8.76824,31.8,480906.8705341948,4686882.879932767,32,T
5778,42.33396333333334,8.76824,31.8,480906.8705341948,4686882.879932767,32,T
5779,42.33396333333334,8.76824,31.8,480906.8705341948,4686882.879932767,32,T
5779,42.33396333333334,8.76824,31.8,480906.8705341948,4686882.879932767,32,T
5779,42.33396333333334,8.76824,31.8,480906.8705341948,4686882.879932767,32,T
5780,42.33396333333334,8.768238333333333,31.8,480906.73322879814,4686882.880306803,32,T
5780,42.33396333333334,8.768238333333333,31.8,480906.73322879814,4686882.880306803,32,T
5780,42.33396333333334,8.768238333333333,31.8,480906.73322879814,4686882.880306803,32,T
5781,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5781,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5781,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5781,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5781,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5781,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5782,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5782,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5782,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5783,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5783,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5783,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5784,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5784,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5784,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5785,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5785,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5785,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5786,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5786,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5786,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5786,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5786,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
5786,42.33396166666667,8.768238333333333,31.9,480906.732724674,4686882.695247758,32,T
